date,warehouse,item,sales,marketing_expense,economic_indicator,competitor_pricing
1/1/2018,1,6,31,3294,110,94
1/2/2018,1,6,36,2961,104,97
1/3/2018,1,6,18,2879,119,97
1/4/2018,1,6,19,3195,114,93
1/5/2018,1,6,31,2725,102,94
1/6/2018,1,6,31,2592,124,91
1/7/2018,1,6,25,3380,121,95
1/8/2018,1,6,29,3004,112,91
1/9/2018,1,6,26,2963,117,93
1/10/2018,1,6,39,2643,106,91
1/11/2018,1,6,36,2586,122,91
1/12/2018,1,6,38,2621,116,96
1/13/2018,1,6,36,2589,115,94
1/14/2018,1,6,20,2764,114,95
1/15/2018,1,6,21,3124,122,91
1/16/2018,1,6,24,3287,113,92
1/17/2018,1,6,33,3268,121,96
1/18/2018,1,6,33,3100,104,95
1/19/2018,1,6,31,2912,106,94
1/20/2018,1,6,34,2508,125,95
1/21/2018,1,6,24,3345,101,96
1/22/2018,1,6,29,3488,116,97
1/23/2018,1,6,19,3146,111,91
1/24/2018,1,6,26,2992,124,91
1/25/2018,1,6,38,2735,114,91
1/26/2018,1,6,36,2729,122,92
1/27/2018,1,6,36,2780,108,93
1/28/2018,1,6,30,2942,117,97
1/29/2018,1,6,21,3014,109,91
1/30/2018,1,6,30,3106,107,96
1/31/2018,1,6,30,3155,111,95
2/1/2018,1,6,46,3310,103,91
2/2/2018,1,6,32,3027,111,96
2/3/2018,1,6,35,3190,117,91
2/4/2018,1,6,24,2729,116,93
2/5/2018,1,6,28,3061,118,97
2/6/2018,1,6,20,2919,113,97
2/7/2018,1,6,33,3002,109,92
2/8/2018,1,6,28,3223,109,95
2/9/2018,1,6,31,2509,114,96
2/10/2018,1,6,39,3064,112,97
2/11/2018,1,6,29,3093,102,95
2/12/2018,1,6,24,2747,104,91
2/13/2018,1,6,26,2770,104,95
2/14/2018,1,6,27,3380,123,95
2/15/2018,1,6,28,3183,125,92
2/16/2018,1,6,31,3251,102,93
2/17/2018,1,6,45,3272,113,97
2/18/2018,1,6,27,2958,109,94
2/19/2018,1,6,32,3024,110,94
2/20/2018,1,6,33,2866,123,94
2/21/2018,1,6,28,3089,114,92
2/22/2018,1,6,33,2671,116,92
2/23/2018,1,6,41,3043,104,94
2/24/2018,1,6,45,3336,103,96
2/25/2018,1,6,39,3195,105,95
2/26/2018,1,6,36,2827,101,96
2/27/2018,1,6,29,2926,108,95
2/28/2018,1,6,26,3166,110,91
3/1/2018,1,6,36,3333,119,92
3/2/2018,1,6,50,2650,101,97
3/3/2018,1,6,56,3442,112,96
3/4/2018,1,6,28,2705,124,95
3/5/2018,1,6,38,3001,108,92
3/6/2018,1,6,36,3208,116,97
3/7/2018,1,6,34,3328,124,93
3/8/2018,1,6,41,3331,123,93
3/9/2018,1,6,51,3305,116,91
3/10/2018,1,6,47,2932,107,97
3/11/2018,1,6,35,2808,119,97
3/12/2018,1,6,34,2664,124,95
3/13/2018,1,6,34,3007,107,93
