date,warehouse,item,sales,marketing_expense,economic_indicator,competitor_pricing
1/1/2018,1,8,33,2840,101,95
1/2/2018,1,8,37,3026,127,95
1/3/2018,1,8,38,3128,104,98
1/4/2018,1,8,54,2569,108,97
1/5/2018,1,8,51,3432,122,97
1/6/2018,1,8,60,3286,127,98
1/7/2018,1,8,28,3154,131,91
1/8/2018,1,8,34,2875,119,98
1/9/2018,1,8,40,2740,133,98
1/10/2018,1,8,43,2801,131,91
1/11/2018,1,8,37,3103,121,92
1/12/2018,1,8,43,2667,101,98
1/13/2018,1,8,43,3414,119,98
1/14/2018,1,8,28,3076,133,94
1/15/2018,1,8,40,2961,126,97
1/16/2018,1,8,48,2887,104,91
1/17/2018,1,8,38,3420,114,93
1/18/2018,1,8,38,3113,134,91
1/19/2018,1,8,37,3272,112,96
1/20/2018,1,8,58,2694,135,91
1/21/2018,1,8,30,3310,132,92
1/22/2018,1,8,36,2999,127,98
1/23/2018,1,8,41,3059,129,97
1/24/2018,1,8,42,3209,106,96
1/25/2018,1,8,41,3409,111,98
1/26/2018,1,8,36,3032,131,95
1/27/2018,1,8,41,3264,108,98
1/28/2018,1,8,26,3082,130,95
1/29/2018,1,8,43,2802,111,94
1/30/2018,1,8,33,3100,103,98
1/31/2018,1,8,36,2922,123,92
2/1/2018,1,8,50,3183,107,92
2/2/2018,1,8,54,2857,117,91
2/3/2018,1,8,47,3393,101,94
2/4/2018,1,8,35,2570,103,94
2/5/2018,1,8,32,3384,125,98
2/6/2018,1,8,38,2765,117,93
2/7/2018,1,8,34,3203,135,93
2/8/2018,1,8,57,2574,103,95
2/9/2018,1,8,61,3422,129,95
2/10/2018,1,8,55,2533,121,92
2/11/2018,1,8,38,3253,134,92
2/12/2018,1,8,37,2595,117,96
2/13/2018,1,8,32,2579,121,96
2/14/2018,1,8,42,2794,125,91
2/15/2018,1,8,35,2994,110,91
2/16/2018,1,8,47,2748,106,98
2/17/2018,1,8,43,2905,114,96
2/18/2018,1,8,32,2707,113,91
2/19/2018,1,8,48,2683,102,94
2/20/2018,1,8,39,3010,126,98
2/21/2018,1,8,48,3391,109,93
2/22/2018,1,8,50,3071,135,98
2/23/2018,1,8,52,2920,114,96
2/24/2018,1,8,58,3106,134,97
2/25/2018,1,8,43,2699,133,94
2/26/2018,1,8,45,2746,131,93
2/27/2018,1,8,38,3074,121,94
2/28/2018,1,8,41,3036,108,91
3/1/2018,1,8,57,2550,128,97
3/2/2018,1,8,56,3406,119,98
3/3/2018,1,8,64,3006,123,98
3/4/2018,1,8,41,2960,111,93
3/5/2018,1,8,54,3080,130,93
3/6/2018,1,8,50,2653,112,97
3/7/2018,1,8,54,3077,127,95
3/8/2018,1,8,59,2804,129,94
3/9/2018,1,8,51,2728,132,96
3/10/2018,1,8,67,2961,104,92
3/11/2018,1,8,30,3484,106,97
3/12/2018,1,8,49,3061,132,97
3/13/2018,1,8,61,2590,103,94
3/14/2018,1,8,52,3238,122,92
3/15/2018,1,8,53,2643,129,97
3/16/2018,1,8,55,2870,112,95
3/17/2018,1,8,62,2572,103,97
3/18/2018,1,8,44,3138,109,96
3/19/2018,1,8,51,2639,111,97
3/20/2018,1,8,46,3021,135,95
3/21/2018,1,8,50,2676,118,95
3/22/2018,1,8,46,3358,102,94
3/23/2018,1,8,55,3021,109,97
3/24/2018,1,8,59,3293,123,96
3/25/2018,1,8,39,3226,109,91
3/26/2018,1,8,45,3382,120,93
3/27/2018,1,8,47,3289,117,97
3/28/2018,1,8,63,3459,102,92
3/29/2018,1,8,63,3168,129,93
