date,warehouse,item,sales,marketing_expense,economic_indicator,competitor_pricing
1/1/2018,1,4,10,3323,110,91
1/2/2018,1,4,11,2902,108,97
1/3/2018,1,4,8,3528,110,97
1/4/2018,1,4,19,2523,115,97
1/5/2018,1,4,12,3854,109,97
1/6/2018,1,4,16,2975,126,91
1/7/2018,1,4,7,3879,124,94
1/8/2018,1,4,9,2696,125,93
1/9/2018,1,4,11,3005,109,91
1/10/2018,1,4,16,3463,122,92
1/11/2018,1,4,19,3934,130,91
1/12/2018,1,4,9,3817,105,93
1/13/2018,1,4,8,3626,114,92
1/14/2018,1,4,5,3186,105,93
1/15/2018,1,4,14,3505,121,97
1/16/2018,1,4,7,4044,114,93
1/17/2018,1,4,11,3202,116,94
1/18/2018,1,4,7,3824,128,92
1/19/2018,1,4,9,2714,104,92
1/20/2018,1,4,20,3747,125,95
1/21/2018,1,4,15,2843,123,97
1/22/2018,1,4,11,3863,128,93
1/23/2018,1,4,7,2828,104,96
1/24/2018,1,4,8,2796,123,97
1/25/2018,1,4,12,3543,104,92
1/26/2018,1,4,5,4125,128,94
1/27/2018,1,4,13,3809,108,96
1/28/2018,1,4,7,4080,112,91
1/29/2018,1,4,13,4149,119,97
1/30/2018,1,4,8,2704,112,93
1/31/2018,1,4,19,3604,108,96
2/1/2018,1,4,21,2580,128,91
2/2/2018,1,4,10,3552,132,96
2/3/2018,1,4,6,3318,127,95
2/4/2018,1,4,11,3812,131,97
2/5/2018,1,4,17,3012,109,91
2/6/2018,1,4,9,2842,133,95
2/7/2018,1,4,15,2741,122,94
2/8/2018,1,4,14,4025,107,93
2/9/2018,1,4,12,3884,125,95
2/10/2018,1,4,13,2952,109,92
2/11/2018,1,4,12,3654,129,97
2/12/2018,1,4,13,2705,125,91
2/13/2018,1,4,13,2527,112,91
2/14/2018,1,4,9,2649,121,97
2/15/2018,1,4,15,3302,117,96
2/16/2018,1,4,13,2839,121,95
2/17/2018,1,4,11,2952,123,94
2/18/2018,1,4,9,3289,122,97
2/19/2018,1,4,8,3339,112,92
2/20/2018,1,4,14,3250,126,91
2/21/2018,1,4,9,2878,125,95
2/22/2018,1,4,9,3202,128,93
2/23/2018,1,4,13,3373,118,91
2/24/2018,1,4,9,3433,123,95
2/25/2018,1,4,8,3702,114,91
2/26/2018,1,4,16,4059,117,92
2/27/2018,1,4,17,3944,121,93
2/28/2018,1,4,14,4160,117,97
3/1/2018,1,4,9,3389,121,91
3/2/2018,1,4,25,3475,118,93
3/3/2018,1,4,19,3397,116,95
3/4/2018,1,4,10,3827,107,95
3/5/2018,1,4,20,2737,104,92
3/6/2018,1,4,13,3744,122,93
3/7/2018,1,4,14,4006,113,92
3/8/2018,1,4,18,3296,106,93
3/9/2018,1,4,20,2641,105,95
3/10/2018,1,4,14,3090,120,92
3/11/2018,1,4,8,3597,119,91
3/12/2018,1,4,14,4172,130,95
3/13/2018,1,4,12,3293,107,94
3/14/2018,1,4,14,3564,132,92
3/15/2018,1,4,15,2574,109,96
3/16/2018,1,4,11,3717,107,97
3/17/2018,1,4,15,2667,117,95
3/18/2018,1,4,10,4174,128,92
3/19/2018,1,4,13,3636,133,95
3/20/2018,1,4,14,4018,121,97
3/21/2018,1,4,15,3409,114,93
3/22/2018,1,4,12,2806,131,96
3/23/2018,1,4,15,2834,117,95
3/24/2018,1,4,22,2841,111,93
3/25/2018,1,4,16,2711,104,91
3/26/2018,1,4,11,2717,129,91
3/27/2018,1,4,14,3870,118,97
3/28/2018,1,4,17,3437,129,94
3/29/2018,1,4,11,3593,115,91
3/30/2018,1,4,23,4002,113,97
3/31/2018,1,4,23,3945,108,91
4/1/2018,1,4,12,3271,111,95
4/2/2018,1,4,14,3409,130,96
4/3/2018,1,4,13,3986,133,94
4/4/2018,1,4,18,2904,104,91
4/5/2018,1,4,24,3454,108,93
4/6/2018,1,4,18,2997,107,92
4/7/2018,1,4,13,4023,117,96
4/8/2018,1,4,6,3632,112,92
4/9/2018,1,4,11,2615,125,96
4/10/2018,1,4,20,4189,108,97
4/11/2018,1,4,14,3666,123,94
4/12/2018,1,4,15,4023,106,94
4/13/2018,1,4,27,4128,116,91
4/14/2018,1,4,27,3833,107,96
4/15/2018,1,4,12,3787,117,93
4/16/2018,1,4,23,4152,116,95
4/17/2018,1,4,21,3811,107,97
4/18/2018,1,4,16,3526,114,96
4/19/2018,1,4,21,3063,117,96
4/20/2018,1,4,21,2912,133,92
4/21/2018,1,4,21,4034,128,97
4/22/2018,1,4,10,2905,111,97
4/23/2018,1,4,21,4026,117,96
4/24/2018,1,4,11,3998,117,92
4/25/2018,1,4,15,4114,113,97
4/26/2018,1,4,14,3182,121,94
4/27/2018,1,4,22,2964,118,96
4/28/2018,1,4,29,3213,131,93
4/29/2018,1,4,9,3260,106,91
4/30/2018,1,4,16,4138,108,96
5/1/2018,1,4,18,3107,128,94
5/2/2018,1,4,25,3303,123,96
5/3/2018,1,4,20,4050,121,94
5/4/2018,1,4,21,4125,115,95
5/5/2018,1,4,27,3732,108,95
5/6/2018,1,4,5,2882,132,94
5/7/2018,1,4,16,3853,106,96
5/8/2018,1,4,24,2886,115,97
5/9/2018,1,4,23,3531,115,92
5/10/2018,1,4,24,2907,122,92
5/11/2018,1,4,28,2996,129,92
5/12/2018,1,4,17,2712,128,91
5/13/2018,1,4,14,2548,110,94
5/14/2018,1,4,16,2737,132,96
5/15/2018,1,4,24,3891,108,97
5/16/2018,1,4,24,2756,113,93
5/17/2018,1,4,22,4193,106,96
5/18/2018,1,4,27,3425,107,97
5/19/2018,1,4,28,3631,117,92
5/20/2018,1,4,12,3382,125,91
5/21/2018,1,4,19,2822,105,91
5/22/2018,1,4,21,2979,116,91
5/23/2018,1,4,20,3840,111,95
5/24/2018,1,4,24,3588,131,96
5/25/2018,1,4,12,3089,113,93
5/26/2018,1,4,26,2834,132,92
5/27/2018,1,4,13,4096,124,95
5/28/2018,1,4,18,3838,120,93
5/29/2018,1,4,18,2519,114,92
5/30/2018,1,4,22,3840,111,92
5/31/2018,1,4,24,2892,132,93
6/1/2018,1,4,21,3790,130,97
6/2/2018,1,4,29,4126,123,92
6/3/2018,1,4,22,3778,114,92
6/4/2018,1,4,18,2978,117,93
6/5/2018,1,4,19,2860,126,97
6/6/2018,1,4,22,3869,109,92
6/7/2018,1,4,18,3463,128,97
6/8/2018,1,4,20,2973,127,91
6/9/2018,1,4,17,3301,130,97
6/10/2018,1,4,16,2930,131,91
6/11/2018,1,4,20,3293,119,91
6/12/2018,1,4,14,3116,116,93
6/13/2018,1,4,22,2618,104,92
6/14/2018,1,4,14,3841,118,97
6/15/2018,1,4,29,2533,114,95
6/16/2018,1,4,21,3987,116,92
6/17/2018,1,4,14,4094,120,95
6/18/2018,1,4,17,3610,116,93
6/19/2018,1,4,16,3215,131,93
6/20/2018,1,4,16,3518,113,97
6/21/2018,1,4,20,3755,107,97
6/22/2018,1,4,24,2696,132,94
6/23/2018,1,4,25,3490,117,94
6/24/2018,1,4,22,3382,106,94
6/25/2018,1,4,23,3949,121,97
6/26/2018,1,4,13,3124,117,94
6/27/2018,1,4,26,3024,131,93
6/28/2018,1,4,17,3284,112,97
6/29/2018,1,4,24,4179,122,92
6/30/2018,1,4,20,2798,129,97
7/1/2018,1,4,9,3597,113,97
7/2/2018,1,4,13,2882,133,91
7/3/2018,1,4,16,3708,110,95
7/4/2018,1,4,21,3513,113,96
7/5/2018,1,4,28,4158,115,96
7/6/2018,1,4,28,3561,118,97
7/7/2018,1,4,29,4000,131,94
7/8/2018,1,4,14,3359,129,95
7/9/2018,1,4,18,3257,118,94
7/10/2018,1,4,14,3797,132,97
7/11/2018,1,4,20,3769,130,97
7/12/2018,1,4,25,3506,127,93
7/13/2018,1,4,30,2859,115,95
7/14/2018,1,4,24,3456,114,91
7/15/2018,1,4,16,2648,119,93
7/16/2018,1,4,21,3120,117,97
7/17/2018,1,4,22,3580,122,91
7/18/2018,1,4,21,2542,119,93
7/19/2018,1,4,24,3644,133,94
7/20/2018,1,4,28,2915,109,97
7/21/2018,1,4,19,2967,130,95
7/22/2018,1,4,14,3214,113,94
7/23/2018,1,4,19,2928,133,93
7/24/2018,1,4,27,3381,120,97
7/25/2018,1,4,18,3409,110,96
7/26/2018,1,4,21,3911,112,94
7/27/2018,1,4,17,3700,114,94
7/28/2018,1,4,27,3340,109,97
7/29/2018,1,4,9,4105,115,97
7/30/2018,1,4,21,2942,132,92
7/31/2018,1,4,13,2685,127,91
8/1/2018,1,4,11,4079,133,92
8/2/2018,1,4,18,3517,117,96
8/3/2018,1,4,17,3887,117,92
8/4/2018,1,4,27,3228,114,91
8/5/2018,1,4,14,2997,107,97
8/6/2018,1,4,20,4079,126,97
8/7/2018,1,4,18,3118,125,92
8/8/2018,1,4,18,4161,127,97
8/9/2018,1,4,18,2806,132,93
8/10/2018,1,4,34,3626,117,92
8/11/2018,1,4,18,3365,116,91
8/12/2018,1,4,14,3037,119,93
8/13/2018,1,4,19,2877,131,94
8/14/2018,1,4,18,3109,129,95
8/15/2018,1,4,21,4199,115,93
8/16/2018,1,4,16,3060,131,92
8/17/2018,1,4,25,2539,132,94
8/18/2018,1,4,15,3310,119,93
8/19/2018,1,4,23,3750,124,96
8/20/2018,1,4,16,2722,114,97
8/21/2018,1,4,13,3957,118,93
8/22/2018,1,4,19,3167,113,94
8/23/2018,1,4,20,2640,112,93
8/24/2018,1,4,27,3595,109,97
8/25/2018,1,4,13,3587,118,97
8/26/2018,1,4,16,2605,116,95
8/27/2018,1,4,22,3311,131,92
8/28/2018,1,4,21,3692,119,97
8/29/2018,1,4,14,3443,109,92
8/30/2018,1,4,17,2551,127,91
8/31/2018,1,4,18,3653,111,97
9/1/2018,1,4,22,3193,122,94
9/2/2018,1,4,15,2532,124,95
9/3/2018,1,4,15,3034,133,95
9/4/2018,1,4,12,3661,128,93
9/5/2018,1,4,25,3539,125,96
9/6/2018,1,4,18,2707,127,97
9/7/2018,1,4,25,3957,120,96
9/8/2018,1,4,28,3264,125,96
9/9/2018,1,4,4,3851,130,95
9/10/2018,1,4,22,3927,133,96
9/11/2018,1,4,22,2533,115,95
9/12/2018,1,4,24,3949,120,97
9/13/2018,1,4,16,3391,124,96
9/14/2018,1,4,24,3851,127,95
9/15/2018,1,4,20,3861,125,96
9/16/2018,1,4,17,3434,128,93
9/17/2018,1,4,20,3909,120,92
9/18/2018,1,4,10,3682,115,91
9/19/2018,1,4,20,4168,111,96
9/20/2018,1,4,17,3450,133,96
9/21/2018,1,4,18,3588,119,94
9/22/2018,1,4,31,3283,124,94
9/23/2018,1,4,9,2508,105,91
9/24/2018,1,4,20,3511,118,93
9/25/2018,1,4,15,3217,110,92
9/26/2018,1,4,15,3765,118,96
9/27/2018,1,4,16,2761,119,96
9/28/2018,1,4,16,3140,119,91
9/29/2018,1,4,20,3076,125,92
9/30/2018,1,4,18,3464,123,96
10/1/2018,1,4,13,2779,127,94
10/2/2018,1,4,13,3320,128,94
10/3/2018,1,4,16,2935,126,91
10/4/2018,1,4,19,4142,121,94
10/5/2018,1,4,22,3956,112,91
10/6/2018,1,4,14,3573,124,91
10/7/2018,1,4,13,3966,119,92
10/8/2018,1,4,14,2543,115,92
10/9/2018,1,4,10,2644,115,92
10/10/2018,1,4,17,3510,129,92
10/11/2018,1,4,14,4156,133,94
10/12/2018,1,4,12,2891,133,92
10/13/2018,1,4,21,4029,118,94
10/14/2018,1,4,7,4081,107,92
10/15/2018,1,4,19,4066,133,97
10/16/2018,1,4,11,3148,124,92
10/17/2018,1,4,11,2873,114,94
10/18/2018,1,4,20,3498,109,92
10/19/2018,1,4,20,3800,127,93
10/20/2018,1,4,18,3711,111,97
10/21/2018,1,4,10,3763,128,95
10/22/2018,1,4,15,3210,120,97
10/23/2018,1,4,19,3498,127,97
10/24/2018,1,4,21,2508,128,91
10/25/2018,1,4,17,3041,130,97
10/26/2018,1,4,19,4084,116,92
10/27/2018,1,4,22,3405,112,96
10/28/2018,1,4,19,4142,132,95
10/29/2018,1,4,10,3675,108,93
10/30/2018,1,4,9,3633,112,97
10/31/2018,1,4,10,3362,133,92
11/1/2018,1,4,22,3734,118,91
11/2/2018,1,4,24,3261,108,94
11/3/2018,1,4,17,4110,107,97
11/4/2018,1,4,12,2500,124,92
11/5/2018,1,4,19,4094,121,95
11/6/2018,1,4,24,4089,128,95
11/7/2018,1,4,18,4036,129,97
11/8/2018,1,4,12,3617,118,94
11/9/2018,1,4,16,3305,130,95
11/10/2018,1,4,14,2652,133,93
11/11/2018,1,4,12,2962,111,92
11/12/2018,1,4,16,3831,121,93
11/13/2018,1,4,11,3921,108,91
11/14/2018,1,4,18,3164,133,94
11/15/2018,1,4,13,3223,116,96
11/16/2018,1,4,25,3671,121,94
11/17/2018,1,4,28,2605,116,91
11/18/2018,1,4,9,4031,112,94
11/19/2018,1,4,18,3399,113,92
11/20/2018,1,4,17,3205,120,95
11/21/2018,1,4,17,4090,118,94
11/22/2018,1,4,19,4029,131,91
11/23/2018,1,4,21,3167,112,95
11/24/2018,1,4,19,3952,114,96
11/25/2018,1,4,11,3540,104,91
11/26/2018,1,4,12,3283,121,93
11/27/2018,1,4,16,2925,110,92
11/28/2018,1,4,29,2855,108,93
11/29/2018,1,4,12,3933,109,95
11/30/2018,1,4,18,3431,110,96
12/1/2018,1,4,17,3798,129,94
12/2/2018,1,4,8,3167,109,95
12/3/2018,1,4,13,3970,104,96
12/4/2018,1,4,17,3028,128,91
12/5/2018,1,4,11,3315,120,92
12/6/2018,1,4,12,3780,128,91
12/7/2018,1,4,20,3685,111,91
12/8/2018,1,4,12,3637,124,91
12/9/2018,1,4,13,2796,105,97
12/10/2018,1,4,5,2943,124,96
12/11/2018,1,4,6,2779,114,96
12/12/2018,1,4,13,3842,126,93
12/13/2018,1,4,15,2756,104,97
12/14/2018,1,4,13,3390,121,91
12/15/2018,1,4,15,2563,116,95
12/16/2018,1,4,7,2628,127,95
12/17/2018,1,4,9,3266,114,96
12/18/2018,1,4,8,4135,116,96
12/19/2018,1,4,15,3468,127,91
12/20/2018,1,4,15,4145,132,97
12/21/2018,1,4,12,3079,132,95
12/22/2018,1,4,13,3712,113,94
12/23/2018,1,4,9,4097,130,93
12/24/2018,1,4,14,2591,111,91
12/25/2018,1,4,10,3654,129,97
12/26/2018,1,4,15,3783,131,91
12/27/2018,1,4,11,3501,129,95
12/28/2018,1,4,22,3849,118,97
12/29/2018,1,4,21,3793,117,92
12/30/2018,1,4,13,2609,128,96
12/31/2018,1,4,9,2858,124,93
1/1/2019,1,4,9,3240,115,96
1/2/2019,1,4,7,3050,133,94
1/3/2019,1,4,10,2994,114,92
