date,warehouse,item,sales,marketing_expense,economic_indicator,competitor_pricing
1/1/2018,1,3,15,2893,105,95
1/2/2018,1,3,30,2957,128,94
1/3/2018,1,3,14,3276,106,96
1/4/2018,1,3,10,2843,113,94
1/5/2018,1,3,23,3003,105,94
1/6/2018,1,3,23,3218,104,96
1/7/2018,1,3,10,2683,126,96
1/8/2018,1,3,13,3417,116,96
1/9/2018,1,3,16,2635,101,93
1/10/2018,1,3,15,3473,125,95
1/11/2018,1,3,24,3440,101,97
1/12/2018,1,3,19,3136,118,94
1/13/2018,1,3,19,2659,123,92
1/14/2018,1,3,15,2794,120,94
1/15/2018,1,3,12,3167,115,94
1/16/2018,1,3,26,2861,121,92
1/17/2018,1,3,14,2578,122,96
1/18/2018,1,3,21,2590,125,98
1/19/2018,1,3,13,3114,107,91
1/20/2018,1,3,21,2785,118,95
1/21/2018,1,3,18,2700,102,95
1/22/2018,1,3,20,3054,101,97
1/23/2018,1,3,14,3180,104,96
1/24/2018,1,3,20,3276,124,97
1/25/2018,1,3,21,2843,109,93
1/26/2018,1,3,17,2896,118,97
1/27/2018,1,3,17,2616,107,97
1/28/2018,1,3,14,3253,117,94
1/29/2018,1,3,15,2706,101,98
1/30/2018,1,3,14,2505,127,98
1/31/2018,1,3,24,3007,115,91
2/1/2018,1,3,22,2812,127,92
2/2/2018,1,3,32,3164,121,98
2/3/2018,1,3,29,3243,127,96
2/4/2018,1,3,21,2660,116,95
2/5/2018,1,3,21,3382,125,91
2/6/2018,1,3,19,2700,126,96
2/7/2018,1,3,15,3174,109,98
2/8/2018,1,3,26,2916,102,98
2/9/2018,1,3,24,3366,115,98
2/10/2018,1,3,24,3442,113,93
2/11/2018,1,3,18,3179,104,93
2/12/2018,1,3,17,2594,107,93
2/13/2018,1,3,21,2521,108,93
2/14/2018,1,3,12,2626,116,94
2/15/2018,1,3,23,3088,105,94
2/16/2018,1,3,23,3463,102,96
2/17/2018,1,3,22,2912,116,91
2/18/2018,1,3,16,2544,120,97
2/19/2018,1,3,19,3279,113,97
2/20/2018,1,3,25,3435,122,97
2/21/2018,1,3,21,2534,101,91
2/22/2018,1,3,24,2532,115,92
2/23/2018,1,3,29,2639,103,93
2/24/2018,1,3,15,3467,103,92
2/25/2018,1,3,19,2816,116,93
2/26/2018,1,3,17,3470,106,91
2/27/2018,1,3,19,2740,103,95
2/28/2018,1,3,24,3022,109,94
3/1/2018,1,3,31,3185,102,92
3/2/2018,1,3,32,2502,128,92
3/3/2018,1,3,27,3315,126,94
3/4/2018,1,3,19,3310,112,95
3/5/2018,1,3,18,3352,126,92
3/6/2018,1,3,19,2808,101,98
3/7/2018,1,3,22,2627,127,98
3/8/2018,1,3,22,2958,101,97
3/9/2018,1,3,35,2570,109,93
3/10/2018,1,3,33,3199,124,93
3/11/2018,1,3,21,3099,120,94
3/12/2018,1,3,27,2662,118,91
3/13/2018,1,3,21,3110,112,91
3/14/2018,1,3,22,2538,114,93
3/15/2018,1,3,23,2551,116,97
3/16/2018,1,3,30,2984,124,98
3/17/2018,1,3,24,2886,121,94
3/18/2018,1,3,19,3296,117,98
3/19/2018,1,3,21,3336,116,92
3/20/2018,1,3,25,2676,108,95
3/21/2018,1,3,24,3201,127,92
3/22/2018,1,3,31,3193,116,93
3/23/2018,1,3,41,3296,115,93
3/24/2018,1,3,27,2761,120,96
3/25/2018,1,3,14,3498,104,96
3/26/2018,1,3,30,2894,108,97
3/27/2018,1,3,23,3391,121,97
3/28/2018,1,3,23,3016,128,98
3/29/2018,1,3,21,2669,115,94
3/30/2018,1,3,30,3446,126,95
3/31/2018,1,3,34,3278,105,94
4/1/2018,1,3,23,3286,111,92
4/2/2018,1,3,25,2650,101,98
4/3/2018,1,3,18,3415,121,96
4/4/2018,1,3,31,2616,104,96
4/5/2018,1,3,43,3331,124,93
4/6/2018,1,3,34,3360,126,92
4/7/2018,1,3,37,3131,124,91
4/8/2018,1,3,19,3139,113,92
4/9/2018,1,3,17,2702,112,93
4/10/2018,1,3,24,2783,123,98
4/11/2018,1,3,34,3355,104,94
4/12/2018,1,3,37,3319,114,98
4/13/2018,1,3,31,3449,103,94
4/14/2018,1,3,39,3298,106,94
4/15/2018,1,3,24,3327,127,97
4/16/2018,1,3,13,3470,104,93
4/17/2018,1,3,25,2969,114,98
4/18/2018,1,3,21,2642,102,94
4/19/2018,1,3,40,3025,116,97
4/20/2018,1,3,29,3291,122,98
4/21/2018,1,3,35,2643,111,96
4/22/2018,1,3,33,3314,102,91
4/23/2018,1,3,32,2669,124,97
4/24/2018,1,3,33,3468,115,91
4/25/2018,1,3,31,3276,109,97
4/26/2018,1,3,21,3119,103,91
4/27/2018,1,3,32,2976,127,97
4/28/2018,1,3,28,3389,127,95
4/29/2018,1,3,16,2746,119,93
4/30/2018,1,3,28,2720,124,91
5/1/2018,1,3,38,2613,105,93
5/2/2018,1,3,26,2582,111,92
5/3/2018,1,3,41,2859,112,93
5/4/2018,1,3,40,3417,114,94
5/5/2018,1,3,33,3461,105,96
5/6/2018,1,3,23,3165,119,95
5/7/2018,1,3,29,2527,118,96
5/8/2018,1,3,17,3293,121,92
5/9/2018,1,3,23,2638,127,98
5/10/2018,1,3,42,2976,103,97
5/11/2018,1,3,34,3460,111,97
5/12/2018,1,3,38,2895,103,95
5/13/2018,1,3,17,3135,113,96
5/14/2018,1,3,26,3410,119,98
5/15/2018,1,3,34,2706,101,94
5/16/2018,1,3,34,2981,101,97
5/17/2018,1,3,34,2538,126,95
5/18/2018,1,3,36,3290,105,91
5/19/2018,1,3,41,2688,103,96
5/20/2018,1,3,16,2971,108,94
5/21/2018,1,3,35,2836,108,94
5/22/2018,1,3,24,3350,109,93
5/23/2018,1,3,39,2994,114,98
5/24/2018,1,3,43,3169,110,91
5/25/2018,1,3,34,3410,122,98
5/26/2018,1,3,34,2554,109,92
5/27/2018,1,3,26,2594,109,92
5/28/2018,1,3,29,3150,126,92
5/29/2018,1,3,33,3327,117,98
5/30/2018,1,3,38,3464,119,96
5/31/2018,1,3,36,2743,112,96
6/1/2018,1,3,34,2806,113,91
6/2/2018,1,3,34,3228,126,93
6/3/2018,1,3,26,3371,115,94
6/4/2018,1,3,32,3333,110,91
6/5/2018,1,3,29,3286,120,94
6/6/2018,1,3,29,2543,123,98
6/7/2018,1,3,38,2585,104,97
6/8/2018,1,3,36,2818,124,93
6/9/2018,1,3,42,3101,123,94
6/10/2018,1,3,27,3251,104,96
6/11/2018,1,3,38,3040,111,95
6/12/2018,1,3,30,2847,106,97
6/13/2018,1,3,26,2879,114,97
6/14/2018,1,3,25,2999,116,92
6/15/2018,1,3,42,3117,106,96
6/16/2018,1,3,46,2678,121,94
6/17/2018,1,3,33,3166,112,98
6/18/2018,1,3,27,3340,127,95
6/19/2018,1,3,30,2552,116,96
6/20/2018,1,3,35,2588,112,96
6/21/2018,1,3,39,3472,111,92
6/22/2018,1,3,23,2671,105,95
6/23/2018,1,3,33,2620,122,96
6/24/2018,1,3,27,3301,104,96
6/25/2018,1,3,37,2906,117,93
6/26/2018,1,3,29,2891,116,95
